word,country,n,mean_lengths,n_strokes,H,H.scaled
vase,Australia,2923,31.70325739268081,3.176873075607253,0.4635274285956343,0.36107954520910013
vase,Brazil,2031,32.093656089520195,3.117676021664205,0.3358870218502799,0.4461715094153845
vase,Canada,4594,34.1974126056907,2.6375707444492815,0.4415178398605484,0.34628072426579987
vase,Czech Republic,2033,32.93263598551785,2.682242990654206,0.3224943586498626,0.4302246498165711
vase,Finland,1777,35.47455703272529,2.5526167698368036,0.31654933839753374,0.4231595007532063
vase,France,1598,32.524275331918155,2.951188986232791,0.31305975394885216,0.4190007262784246
vase,Germany,4225,31.60876769319391,2.8686390532544377,0.4404855262128104,0.34389067543599966
vase,Italy,1676,32.01926579964775,3.242840095465394,0.3401136383945012,0.4511213668771636
vase,"Korea, South",1649,30.357925773101638,3.277137659187386,0.29522962673760544,0.3963960460341789
vase,Philippines,1711,34.235012064044795,2.6721215663354765,0.3223066314582999,0.4302160438862732
vase,Poland,1745,34.35548999916689,2.6779369627507164,0.3328941648464616,0.4431675971171212
vase,Russia,2990,33.60078842824171,2.6585284280936454,0.4533614552788268,0.37172464881822187
vase,Sweden,2146,33.64028294168948,2.689189189189189,0.3296311029016267,0.43840851083179694
vase,Thailand,1575,33.330378758910975,2.784126984126984,0.3049670585832994,0.40905364049824333
vase,United Kingdom,8944,32.86837474171191,2.9391771019677995,0.29769337266911833,0.27506607594157373
vase,United States,58149,35.16439503969283,2.6367951297528762,0.15468105243844438,0.16078073320590053
