item,key_ids
angel,6268036426235904
angel,6293096855764992
angel,4915503522906112
angel,5558696350318592
angel,5521044418854912
angel,5973269461073920
angel,6264418499297280
angel,6491428542742528
angel,6411199862276096
angel,6437086905237504
apple,5058142830329856
apple,6122314859020288
apple,6171832514248704
apple,4716950322151424
apple,5574610781208576
apple,4515937967407104
apple,5111616783777792
apple,4744351559188480
apple,5102646337732608
apple,5631010530131968
axe,5447324979429376
axe,6260004128555008
axe,5547243618697216
axe,6126790634373120
axe,5730438167396352
axe,5266256074637312
axe,4981486602158080
axe,5293080825561088
axe,4703953583341568
axe,5912453613355008
banana,4505911232036864
banana,5696747256938496
banana,6450073678381056
banana,4772237125091328
banana,5938841913393152
banana,6081913016025088
banana,6648088787681280
banana,4553472261226496
banana,6328065602879488
banana,5692466965512192
baseballbat,5809424213999616
baseballbat,4531585942552576
baseballbat,5468475814313984
baseballbat,4715088487383040
baseballbat,5757485375815680
baseballbat,6397005804863488
baseballbat,5076299951374336
baseballbat,5863816497725440
baseballbat,4530251717672960
baseballbat,5167145119907840
basket,6441886933843968
basket,6412092141731840
basket,5921099516739584
basket,4717366816538624
basket,6169858272133120
basket,5294373526831104
basket,5985260040880128
basket,6199478514089984
basket,5244967511392256
basket,4793209379094528
bat,5962303822364672
bat,4885365787721728
bat,4890997567782912
bat,6325739446075392
bat,6384303099346944
bat,4864354002403328
bat,5472970967351296
bat,6512054418538496
bat,6472121892995072
bat,5047880588984320
bed,4731095494950912
bed,6351747452764160
bed,6483568668704768
bed,4818081874444288
bed,5224200828616704
bed,5460675855908864
bed,5938365436264448
bed,5018360540561408
bed,5056432237969408
bed,4516356189847552
binoculars,6478943525797888
binoculars,4989046466019328
binoculars,5362522024574976
binoculars,5072386011430912
binoculars,5501546630479872
binoculars,4663360639467520
binoculars,4655922410422272
binoculars,6234010114064384
binoculars,5373362656247808
binoculars,6503011767549952
bird,5518587227799552
bird,5316719167930368
bird,6691199387697152
bird,5461409653587968
bird,5522854529466368
bird,5850340622598144
bird,6669315791126528
bird,6178090126409728
bird,5721159276429312
bird,5001212145434624
boomerang,5074122704945152
boomerang,4617893713018880
boomerang,5546077283418112
boomerang,5334729727410176
boomerang,6033058392178688
boomerang,6183746397011968
boomerang,6031301687640064
boomerang,6625854580850688
boomerang,5798197786050560
boomerang,4678051927425024
brain,6283158167224320
brain,4950310965477376
