all_codes,country_code_2,country_code_1,log_normalized_n_events_all,log_normalized_mean_imports_dollars,centroid_dist_meters,wals_euclidean_dist,asjp_dist
AEAR,AE,AR,-16.325346499648962,-23.605159925870318,13988648.579099372,166.39748513958506,NA
AEAT,AE,AT,-15.792733171805299,-22.13668778661063,4426339.855336516,26.158017745560464,NA
AEAU,AE,AU,-13.834289341984025,-20.83605426839362,10289101.603344126,156.59282004870923,NA
AEBE,AE,BE,-15.96166012118164,-20.358587631776356,5195094.4902239265,NA,NA
AEBH,AE,BH,-12.195794028852665,-21.250362256611258,417408.4100291023,0,0
AEBY,AE,BY,-15.854745085255637,-24.57982823965441,3898115.4166045384,132.5023519190366,NA
AECA,AE,CA,-15.580231472172407,-22.338424823106227,10295221.496059548,156.59282004870923,NA
AECH,AE,CH,-14.655754310820209,-20.73495190938352,4796902.945216044,26.158017745560464,NA
AECZ,AE,CZ,-13.723919132790558,-21.604718796553296,4421819.068075835,NA,NA
AEDE,AE,DE,-15.97461975237795,-21.029841759992088,4791610.490013263,26.158017745560464,NA
AEDK,AE,DK,-15.552572964094807,-22.07033109641069,5031289.100730512,98.38964110541342,NA
AEDZ,AE,DZ,-15.231406218216172,-23.323708539189695,5085929.398170368,0,0
AEEE,AE,EE,-13.128796923408748,-25.000070045493263,4472260.097471721,NA,NA
AEEG,AE,EG,-13.09895320534789,-22.208310510436963,2430679.8781104367,0,0
AEES,AE,ES,-15.723679787003599,-21.80907334360209,5652872.017756516,166.39748513958506,NA
AEFI,AE,FI,-14.444712996620417,-21.943492076259545,4899632.652641766,83.39008607952832,NA
AEFR,AE,FR,-14.729502456441073,-20.92502180479291,5220813.494747943,NA,NA
AEGB,AE,GB,-14.42453188817533,-20.464392005436,5805226.845214116,156.59282004870923,NA
AEGR,AE,GR,-14.319637978771912,-22.640769649524966,3440002.9454090977,NA,NA
AEHU,AE,HU,-13.92866709835315,-22.024980465066687,3953231.0989078823,170.62496313754698,NA
AEID,AE,ID,-17.99669557076336,-22.119037284922108,7841918.740473493,140.69020878687894,NA
AEIL,AE,IL,-13.669695023266527,NA,2068022.2460306971,104.11151944570605,NA
AEIN,AE,IN,-15.180930729458872,-20.250424056542165,2412375.4866763293,124.34005973780548,NA
AEIQ,AE,IQ,-13.681067472906543,-24.569729128033195,1398765.8544706032,0,0
AEIT,AE,IT,-15.544727734486537,-20.83701131075698,4303756.769362034,107.32403587910284,NA
AEJO,AE,JO,-12.30407213518981,-21.787590202301757,1937384.0585917328,0,0
AEJP,AE,JP,-16.911837651767886,-19.55816230559324,7965910.8268026,153.20765594659073,NA
AEKR,AE,KR,-14.48872751594525,-19.787032031233707,7027404.7573735565,141.63370671766592,NA
AEKW,AE,KW,-12.596283374260036,-21.453491736380435,871926.8729197237,0,0
AEKZ,AE,KZ,-15.892318718671383,-23.171443299971966,2943478.3522937424,33.53410112144537,NA
