country_code_1,country_code_2,mean_ratio,country_name_1,country_name_2,cont_order_1,cont_order_2
AE,AR,0.9999711901525158,United Arab Emirates,Argentina,3,2
AE,AT,1.0000417846594432,United Arab Emirates,Austria,3,4
AE,AU,0.9999678731091802,United Arab Emirates,Australia,3,5
AE,BA,1.0000451962860295,United Arab Emirates,Bosnia and Herzegovina,3,4
AE,BE,0.9999991361052629,United Arab Emirates,Belgium,3,4
AE,BG,1.000044267605581,United Arab Emirates,Bulgaria,3,4
AE,BH,1.000031250442815,United Arab Emirates,Bahrain,3,3
AE,BR,0.9999297463804442,United Arab Emirates,Brazil,3,2
AE,BY,1.0000315960607518,United Arab Emirates,Belarus,3,4
AE,CA,1.0000242578665306,United Arab Emirates,Canada,3,2
AE,CH,1.0000436238509893,United Arab Emirates,Switzerland,3,4
AE,CL,0.9999709912711594,United Arab Emirates,Chile,3,2
AE,CO,1.0000385492272645,United Arab Emirates,Colombia,3,2
AE,CZ,0.9997510054199951,United Arab Emirates,Czech Republic,3,4
AE,DE,1.000041130377897,United Arab Emirates,Germany,3,4
AE,DK,1.0000419674320216,United Arab Emirates,Denmark,3,4
AE,DZ,1.0000414224573377,United Arab Emirates,Algeria,3,1
AE,EE,0.9998953508596601,United Arab Emirates,Estonia,3,4
AE,EG,1.0000147570080524,United Arab Emirates,Egypt,3,1
AE,ES,1.000011294490898,United Arab Emirates,Spain,3,4
AE,FI,0.999853317791855,United Arab Emirates,Finland,3,4
AE,FR,0.9999925253391172,United Arab Emirates,France,3,4
AE,GB,0.9998099361733954,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,3,4
AE,GE,1.0000380725425406,United Arab Emirates,Georgia,3,3
AE,GR,1.0000397868370632,United Arab Emirates,Greece,3,4
AE,HK,1.0000345830308062,United Arab Emirates,Hong Kong,3,3
AE,HR,0.9998257374728795,United Arab Emirates,Croatia,3,4
AE,HU,1.000028132658509,United Arab Emirates,Hungary,3,4
AE,ID,1.0000459241099218,United Arab Emirates,Indonesia,3,3
AE,IE,1.0000406848568835,United Arab Emirates,Ireland,3,4
AE,IL,1.0000355617623062,United Arab Emirates,Israel,3,3
AE,IN,1.0000244361947015,United Arab Emirates,India,3,3
AE,IQ,1.0000094043167393,United Arab Emirates,Iraq,3,3
AE,IT,0.9999983137525107,United Arab Emirates,Italy,3,4
AE,JO,1.000011931480913,United Arab Emirates,Jordan,3,3
AE,JP,1.0000475192599978,United Arab Emirates,Japan,3,3
AE,KH,0.9999299137824489,United Arab Emirates,Cambodia,3,3
AE,KR,1.0000082216972206,United Arab Emirates,Republic of Korea,3,3
AE,KW,0.9999600070114072,United Arab Emirates,Kuwait,3,3
AE,KZ,1.0000200866701532,United Arab Emirates,Kazakhstan,3,3
AE,LT,1.00003916451658,United Arab Emirates,Lithuania,3,4
AE,LV,1.0000163271803972,United Arab Emirates,Latvia,3,4
AE,MX,1.000038734536248,United Arab Emirates,Mexico,3,2
AE,MY,1.0000349239758333,United Arab Emirates,Malaysia,3,3
AE,NL,1.0000445320207774,United Arab Emirates,Netherlands,3,4
AE,NO,1.000045009366447,United Arab Emirates,Norway,3,4
AE,NZ,1.00004400881259,United Arab Emirates,New Zealand,3,5
AE,PE,1.000038403954607,United Arab Emirates,Peru,3,2
AE,PH,1.0000389856731013,United Arab Emirates,Philippines,3,3
