country_code_1,country_code_2,mean_ratio,country_name_1,country_name_2,cont_order_1,cont_order_2
AE,AR,0.99998280107691,United Arab Emirates,Argentina,3,2
AE,AT,0.9998160540014134,United Arab Emirates,Austria,3,4
AE,AU,0.9998502508787745,United Arab Emirates,Australia,3,5
AE,BA,1.0000013037767148,United Arab Emirates,Bosnia and Herzegovina,3,4
AE,BE,0.9998940164282293,United Arab Emirates,Belgium,3,4
AE,BG,0.9999594584927782,United Arab Emirates,Bulgaria,3,4
AE,BH,0.9999325133268693,United Arab Emirates,Bahrain,3,3
AE,BR,0.9999903057703695,United Arab Emirates,Brazil,3,2
AE,BY,0.9999215539988902,United Arab Emirates,Belarus,3,4
AE,CA,0.9999239826007297,United Arab Emirates,Canada,3,2
AE,CH,0.9998441774298142,United Arab Emirates,Switzerland,3,4
AE,CL,0.9998910538723769,United Arab Emirates,Chile,3,2
AE,CO,0.999998221171902,United Arab Emirates,Colombia,3,2
AE,CZ,0.999882129779527,United Arab Emirates,Czech Republic,3,4
AE,DE,0.9998172170044901,United Arab Emirates,Germany,3,4
AE,DK,0.9998799213596604,United Arab Emirates,Denmark,3,4
AE,DZ,0.9999825219980436,United Arab Emirates,Algeria,3,1
AE,EE,0.9999224829439388,United Arab Emirates,Estonia,3,4
AE,EG,0.9999666251342835,United Arab Emirates,Egypt,3,1
AE,ES,0.9999432235890191,United Arab Emirates,Spain,3,4
AE,FI,0.99989019236478,United Arab Emirates,Finland,3,4
AE,FR,0.999953276772469,United Arab Emirates,France,3,4
AE,GB,0.999789839521821,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,3,4
AE,GR,0.9999733884153603,United Arab Emirates,Greece,3,4
AE,HK,0.9999844273879513,United Arab Emirates,Hong Kong,3,3
AE,HR,0.9999819133853791,United Arab Emirates,Croatia,3,4
AE,HU,0.9999606678836763,United Arab Emirates,Hungary,3,4
AE,ID,0.9999750901653921,United Arab Emirates,Indonesia,3,3
AE,IE,0.9999123570579549,United Arab Emirates,Ireland,3,4
AE,IL,0.9999388099974906,United Arab Emirates,Israel,3,3
AE,IN,0.9999926521161502,United Arab Emirates,India,3,3
AE,IQ,0.9999833600317135,United Arab Emirates,Iraq,3,3
AE,IT,0.999892687023459,United Arab Emirates,Italy,3,4
AE,JO,0.999976861599065,United Arab Emirates,Jordan,3,3
AE,JP,0.9999705279204442,United Arab Emirates,Japan,3,3
AE,KH,0.9999548993835186,United Arab Emirates,Cambodia,3,3
AE,KR,0.9999729042579477,United Arab Emirates,Republic of Korea,3,3
AE,KW,0.9999411087899783,United Arab Emirates,Kuwait,3,3
AE,KZ,0.9999176934352426,United Arab Emirates,Kazakhstan,3,3
AE,LT,0.9998197844994772,United Arab Emirates,Lithuania,3,4
AE,LV,0.999942509600648,United Arab Emirates,Latvia,3,4
AE,MA,0.9999980576677554,United Arab Emirates,Morocco,3,1
AE,MK,0.9999951085825981,United Arab Emirates,The former Yugoslav Republic of Macedonia,3,4
AE,MX,0.9999842691126672,United Arab Emirates,Mexico,3,2
AE,MY,0.9999751326290109,United Arab Emirates,Malaysia,3,3
AE,NL,0.9997532402566941,United Arab Emirates,Netherlands,3,4
AE,NO,0.9998102841961175,United Arab Emirates,Norway,3,4
AE,NZ,0.9997343969918463,United Arab Emirates,New Zealand,3,5
AE,OM,0.9999553402903419,United Arab Emirates,Oman,3,3
AE,PE,0.9999711690197584,United Arab Emirates,Peru,3,2
AE,PH,0.9999084434248197,United Arab Emirates,Philippines,3,3
