country1,country2,dist,word
Australia,Brazil,0.8801228404045105,firetruck
Australia,Canada,0.62579745054245,firetruck
Australia,Czech Republic,0.6412676572799683,firetruck
Australia,Finland,0.9341141581535339,firetruck
Australia,France,0.7035276889801025,firetruck
Australia,Germany,0.7508681416511536,firetruck
Australia,Hungary,0.9710555672645569,firetruck
Australia,Italy,0.49100539088249207,firetruck
Australia,"Korea, South",0.9007511138916016,firetruck
Australia,Philippines,0.6053652763366699,firetruck
Australia,Poland,0.6432337164878845,firetruck
Australia,Russia,0.6436430215835571,firetruck
Australia,Saudi Arabia,0.8019089698791504,firetruck
Australia,Sweden,0.8082424402236938,firetruck
Australia,Thailand,0.7855879664421082,firetruck
Australia,United Kingdom,0.7282834053039551,firetruck
Australia,United States,0.5993131399154663,firetruck
Brazil,Canada,0.6739727258682251,firetruck
Brazil,Czech Republic,0.610621452331543,firetruck
Brazil,Finland,1.5582751035690308,firetruck
Brazil,France,0.902978241443634,firetruck
Brazil,Germany,1.0724354982376099,firetruck
Brazil,Hungary,1.5500837564468384,firetruck
Brazil,Italy,0.9299721121788025,firetruck
Brazil,"Korea, South",1.529496192932129,firetruck
Brazil,Philippines,0.6687003970146179,firetruck
Brazil,Poland,0.8710446357727051,firetruck
Brazil,Russia,0.6072248220443726,firetruck
Brazil,Saudi Arabia,1.257707118988037,firetruck
Brazil,Sweden,1.2622263431549072,firetruck
Brazil,Thailand,1.4807718992233276,firetruck
Brazil,United Kingdom,0.928368330001831,firetruck
Brazil,United States,1.005043387413025,firetruck
Canada,Czech Republic,0.5270895957946777,firetruck
Canada,Finland,1.1764847040176392,firetruck
Canada,France,0.6572107672691345,firetruck
Canada,Germany,0.7479608058929443,firetruck
Canada,Hungary,1.121170997619629,firetruck
Canada,Italy,0.5837301015853882,firetruck
Canada,"Korea, South",1.1043027639389038,firetruck
Canada,Philippines,0.7019541263580322,firetruck
Canada,Poland,0.5444221496582031,firetruck
Canada,Russia,0.6003734469413757,firetruck
Canada,Saudi Arabia,0.8611525297164917,firetruck
Canada,Sweden,0.8866313099861145,firetruck
Canada,Thailand,1.053073763847351,firetruck
Canada,United Kingdom,0.6461842060089111,firetruck
Canada,United States,0.642071545124054,firetruck
Czech Republic,Finland,1.2276086807250977,firetruck
Czech Republic,France,0.6787499189376831,firetruck
Czech Republic,Germany,0.9313861131668091,firetruck
Czech Republic,Hungary,1.2627209424972534,firetruck
Czech Republic,Italy,0.6985205411911011,firetruck
Czech Republic,"Korea, South",1.2478879690170288,firetruck
Czech Republic,Philippines,0.5826765298843384,firetruck
Czech Republic,Poland,0.5617766380310059,firetruck
Czech Republic,Russia,0.4643661081790924,firetruck
Czech Republic,Saudi Arabia,1.0223181247711182,firetruck
Czech Republic,Sweden,0.9754611253738403,firetruck
Czech Republic,Thailand,1.1688190698623657,firetruck
Czech Republic,United Kingdom,0.8130438327789307,firetruck
Czech Republic,United States,0.8113117814064026,firetruck
Finland,France,1.019910454750061,firetruck
Finland,Germany,0.861488401889801,firetruck
Finland,Hungary,0.5518158078193665,firetruck
Finland,Italy,0.8232983946800232,firetruck
Finland,"Korea, South",0.6759778261184692,firetruck
Finland,Philippines,1.314323902130127,firetruck
Finland,Poland,1.0054261684417725,firetruck
Finland,Russia,1.319287657737732,firetruck
Finland,Saudi Arabia,0.6381703615188599,firetruck
Finland,Sweden,0.5624409317970276,firetruck
Finland,Thailand,0.6003882884979248,firetruck
Finland,United Kingdom,0.8704734444618225,firetruck
Finland,United States,0.7989776730537415,firetruck
France,Germany,0.7305194735527039,firetruck
France,Hungary,0.9672753214836121,firetruck
France,Italy,0.6366931200027466,firetruck
France,"Korea, South",1.0066555738449097,firetruck
France,Philippines,0.8576712608337402,firetruck
France,Poland,0.6196361184120178,firetruck
France,Russia,0.7847378849983215,firetruck
France,Saudi Arabia,0.8471941947937012,firetruck
France,Sweden,0.7590464353561401,firetruck
France,Thailand,0.9509794116020203,firetruck
France,United Kingdom,0.6185699105262756,firetruck
France,United States,0.6910622119903564,firetruck
Germany,Hungary,0.7855708003044128,firetruck
Germany,Italy,0.6019017696380615,firetruck
Germany,"Korea, South",0.7307088971138,firetruck
Germany,Philippines,1.0701251029968262,firetruck
Germany,Poland,0.7986780405044556,firetruck
Germany,Russia,0.9754544496536255,firetruck
Germany,Saudi Arabia,0.6246228218078613,firetruck
Germany,Sweden,0.6445544958114624,firetruck
Germany,Thailand,0.8910784125328064,firetruck
Germany,United Kingdom,0.5054785013198853,firetruck
Germany,United States,0.5671231746673584,firetruck
Hungary,Italy,0.7805309295654297,firetruck
Hungary,"Korea, South",0.6325491666793823,firetruck
Hungary,Philippines,1.3614212274551392,firetruck
Hungary,Poland,0.9911410212516785,firetruck
Hungary,Russia,1.3583736419677734,firetruck
Hungary,Saudi Arabia,0.5971192121505737,firetruck
Hungary,Sweden,0.5823058485984802,firetruck
Hungary,Thailand,0.6783726811408997,firetruck
Hungary,United Kingdom,0.8030198812484741,firetruck
Hungary,United States,0.7550221085548401,firetruck
Italy,"Korea, South",0.7931580543518066,firetruck
Italy,Philippines,0.7870600819587708,firetruck
Italy,Poland,0.5972744822502136,firetruck
Italy,Russia,0.739523708820343,firetruck
Italy,Saudi Arabia,0.6758800148963928,firetruck
Italy,Sweden,0.6458841562271118,firetruck
Italy,Thailand,0.7341744303703308,firetruck
Italy,United Kingdom,0.5551517605781555,firetruck
Italy,United States,0.5162404775619507,firetruck
"Korea, South",Philippines,1.289449691772461,firetruck
"Korea, South",Poland,1.0757440328598022,firetruck
"Korea, South",Russia,1.3058414459228516,firetruck
"Korea, South",Saudi Arabia,0.6261546015739441,firetruck
"Korea, South",Sweden,0.7096955180168152,firetruck
"Korea, South",Thailand,0.6950779557228088,firetruck
"Korea, South",United Kingdom,0.8345008492469788,firetruck
"Korea, South",United States,0.8312526345252991,firetruck
Philippines,Poland,0.8112454414367676,firetruck
Philippines,Russia,0.5271289944648743,firetruck
Philippines,Saudi Arabia,1.0800853967666626,firetruck
Philippines,Sweden,1.128659725189209,firetruck
Philippines,Thailand,1.1684824228286743,firetruck
Philippines,United Kingdom,0.9784576296806335,firetruck
Philippines,United States,0.8889156579971313,firetruck
Poland,Russia,0.7054391503334045,firetruck
Poland,Saudi Arabia,0.8476278781890869,firetruck
Poland,Sweden,0.7425164580345154,firetruck
Poland,Thailand,0.9745492935180664,firetruck
Poland,United Kingdom,0.6810682415962219,firetruck
Poland,United States,0.5981730222702026,firetruck
Russia,Saudi Arabia,1.098964810371399,firetruck
Russia,Sweden,1.0748435258865356,firetruck
Russia,Thailand,1.228044867515564,firetruck
Russia,United Kingdom,0.8838881254196167,firetruck
Russia,United States,0.8869915008544922,firetruck
Saudi Arabia,Sweden,0.5715743899345398,firetruck
Saudi Arabia,Thailand,0.7153924703598022,firetruck
Saudi Arabia,United Kingdom,0.6284879446029663,firetruck
Saudi Arabia,United States,0.5812255144119263,firetruck
Sweden,Thailand,0.6848093867301941,firetruck
Sweden,United Kingdom,0.6149369478225708,firetruck
Sweden,United States,0.601042628288269,firetruck
Thailand,United Kingdom,0.8727248311042786,firetruck
Thailand,United States,0.7561561465263367,firetruck
United Kingdom,United States,0.5656819343566895,firetruck
