t;id;i;iso3;country;Out-degree;In-degree;Out-strength;In-strength;Out-degree_percent;In-degree percent;Out-strength-percent;In-strength_percent;Out-closenness;In-closenness;W-Out-closenness;W-In-closenness;Out-eigenvector;In-eigenvector;W-Out-eigenvector;W-In-eigenvector
2010;1;533;ABW;Aruba;0.3615819;0.5084746;1579.159;7207.833;0.2940366;0.4134889;0.0019078;0.0087079;0.6103448;0.6704546;0.0920151;0.268055;0.0394812;0.0554141;0.0000346;0.0008347
2009;1;533;ABW;Aruba;0.4293785;0.5423729;11615.68;7411.798;0.3564394;0.4502392;0.0171979;0.0109737;0.6366907;0.6860465;0.6756251;0.320234;0.0483404;0.0604734;0.0012571;0.0009317
2008;1;533;ABW;Aruba;0.3672316;0.4011299;29023.21;14725.5;0.293865;0.320991;0.0327325;0.0166075;0.6124567;0.6254417;0.7364317;0.3441302;0.0412377;0.045139;0.0025236;0.0013929
2007;1;533;ABW;Aruba;0.3559322;0.3728814;24328.21;14732.21;0.2863376;0.2999727;0.0320676;0.0194189;0.6082474;0.6145833;0.7263368;0.3598609;0.0395989;0.0425234;0.0025735;0.001421
2006;1;533;ABW;Aruba;0.2937853;0.3502825;22036.8;17054.31;0.2396866;0.2857801;0.0333943;0.0258439;0.5860927;0.6061644;0.6835227;0.414382;0.0327671;0.0407387;0.0027739;0.0016153
2005;1;533;ABW;Aruba;0.3502825;0.4689265;20592.05;17301.93;0.2853986;0.3820659;0.0358751;0.0301431;0.6061644;0.6531366;0.7345191;0.4568094;0.0386083;0.0527193;0.0031731;0.0019699
2004;1;533;ABW;Aruba;0.3954802;0.4915254;13401.78;16318.84;0.329893;0.4100099;0.0263513;0.032087;0.6232395;0.6629214;0.6160696;0.4610608;0.0434983;0.0559692;0.0022298;0.002205
2003;1;533;ABW;Aruba;0.3672316;0.4576271;7001.525;11140.24;0.3074449;0.3831236;0.0168656;0.0268352;0.6124567;0.6483517;0.6106201;0.3921025;0.041897;0.0527339;0.0014765;0.0021299
2002;1;533;ABW;Aruba;0.3559322;0.4576271;6085.823;8235.321;0.3024629;0.3888809;0.0170662;0.0230939;0.6082474;0.6483517;0.5696663;0.3872545;0.0414283;0.0536509;0.0013986;0.0021493
2001;1;533;ABW;Aruba;0.2655367;0.3446328;7232.231;2916.183;0.2285214;0.2965916;0.021066;0.0084942;0.5765472;0.6040956;0.5673956;0.2832715;0.0309838;0.0421656;0.0019234;0.000738
2000;1;533;ABW;Aruba;0.2372881;0.3163842;9258.177;4700.43;0.2081578;0.2775438;0.0261414;0.0132722;0.5673077;0.5939597;0.5398985;0.3024288;0.0278424;0.0394665;0.0025104;0.0007492
1999;1;533;ABW;Aruba;0.2881356;0.3220339;4697.517;3413.087;0.2623052;0.2931646;0.0149465;0.0108597;0.5841584;0.5959596;0.5829794;0.3212926;0.0355026;0.0414332;0.0013018;0.0008721
1998;1;533;ABW;Aruba;0.2259887;0.259887;3409.779;4629.742;0.2091066;0.2404726;0.0112495;0.0152744;0.5636942;0.5746753;0.5103839;0.3273938;0.0287846;0.0345054;0.0009659;0.0010307
1997;1;533;ABW;Aruba;0.2429378;0.2768362;5211.688;4913.526;0.229799;0.261864;0.0170504;0.016075;0.5691319;0.5803279;0.560092;0.3174098;0.0310771;0.0364657;0.0013385;0.0007826
1996;1;533;ABW;Aruba;0.2316384;0.259887;4129.916;4423.898;0.2295376;0.2575299;0.0140237;0.0150219;0.5654952;0.5746753;0.5296425;0.3036329;0.0320014;0.0366734;0.0012422;0.0007158
1995;1;533;ABW;Aruba;0.180791;0.1864407;3432.849;3151.171;0.1909308;0.1968974;0.0123236;0.0113124;0.5496894;0.5514019;0.4069794;0.2567592;0.0251982;0.0296415;0.0009345;0.0007946
2010;2;4;AFG;Afghanistan;0.5310735;0.5593221;3061.913;57379.31;0.4318662;0.4548378;0.0036991;0.0693208;0.6807692;0.6941177;0.1639662;0.3330768;0.0605797;0.0629445;0.0000669;0.003056
2009;2;4;AFG;Afghanistan;0.4858757;0.5480226;7014.393;41641.32;0.4033393;0.4549292;0.0103853;0.061653;0.6604478;0.6887159;0.5781268;0.4164766;0.0566695;0.0628855;0.0001085;0.0029589
2008;2;4;AFG;Afghanistan;0.5367231;0.5367231;3171.832;35557.82;0.429495;0.429495;0.0035772;0.0401023;0.6833977;0.6833977;0.1746777;0.337155;0.059133;0.0598913;0.0000626;0.0013566
2007;2;4;AFG;Afghanistan;0.4971751;0.4858757;1880.917;20843.3;0.3999636;0.3908736;0.0024793;0.027474;0.6654136;0.6604478;0.1190098;0.3113129;0.0565108;0.0555787;0.0000331;0.0010753
2006;2;4;AFG;Afghanistan;0.5310735;0.4745763;1131.059;19541.6;0.4332796;0.387186;0.001714;0.0296131;0.6807692;0.6555555;0.1001931;0.3691485;0.0600696;0.0550129;0.000029;0.0009953
2005;2;4;AFG;Afghanistan;0.5480226;0.4915254;1229.445;19997.55;0.4465108;0.4004787;0.0021419;0.0348393;0.6887159;0.6629214;0.1077309;0.4106552;0.0620883;0.0565737;0.0000475;0.0008108
2004;2;4;AFG;Afghanistan;0.5367231;0.480226;928.2084;10730.67;0.4477119;0.4005844;0.0018251;0.0210992;0.6833977;0.6579925;0.0940894;0.3391122;0.061823;0.0570993;0.0000255;0.000591
2003;2;4;AFG;Afghanistan;0.5254237;0.4689265;1091.427;9545.411;0.4398827;0.3925835;0.0026291;0.0229935;0.6781609;0.6531366;0.1194007;0.3300609;0.0612718;0.0558369;0.0000958;0.0004226
2002;2;4;AFG;Afghanistan;0.4858757;0.4576271;378.7939;4219.138;0.4128859;0.3888809;0.0010622;0.0118315;0.6604478;0.6483517;0.0553662;0.225009;0.0580028;0.0547841;0.0000181;0.000375
2001;2;4;AFG;Afghanistan;0.5254237;0.3785311;370.6461;2105.074;0.4521807;0.3257646;0.0010796;0.0061316;0.6781609;0.6167247;0.0539667;0.1843727;0.0626671;0.0472159;0.0000175;0.000119
2000;2;4;AFG;Afghanistan;0.5028248;0.3728814;631.1973;2655.926;0.4410963;0.3271051;0.0017823;0.0074993;0.6679245;0.6145833;0.0746767;0.1695057;0.0607611;0.047148;0.0000313;0.0001237
1999;2;4;AFG;Afghanistan;0.4576271;0.3389831;529.3682;1713.452;0.4166024;0.3085944;0.0016843;0.0054518;0.6483517;0.6020408;0.0661796;0.1573262;0.0588889;0.0447549;0.000046;0.0001501
1998;2;4;AFG;Afghanistan;0.440678;0.3615819;756.2366;1741.206;0.4077578;0.3345706;0.002495;0.0057446;0.6413044;0.6103448;0.0870118;0.1474472;0.0589478;0.0486727;0.0000783;0.0001551
1997;2;4;AFG;Afghanistan;0.440678;0.3276836;658.3981;2188.358;0.4168448;0.3099615;0.002154;0.0071594;0.6413044;0.597973;0.0460237;0.1850597;0.0586532;0.0460882;0.0000756;0.0002396
1996;2;4;AFG;Afghanistan;0.4124294;0.3220339;516.4319;2533.201;0.4086888;0.3191132;0.0017536;0.0086018;0.6298932;0.5959596;0.0505098;0.1997007;0.0587809;0.0474192;0.0000756;0.0003389
1995;2;4;AFG;Afghanistan;0.3898305;0.2937853;474.5897;1683.247;0.4116945;0.3102625;0.0017037;0.0060427;0.6210526;0.5860927;0.0528157;0.1664263;0.0589127;0.046046;0.0000606;0.0002389
2010;3;24;AGO;Angola;0.3954802;0.5423729;240280.9;78757.02;0.3216025;0.4410549;0.290287;0.0951476;0.6232395;0.6860465;0.9610273;0.33548;0.046257;0.0623037;0.0302715;0.0043287
2009;3;24;AGO;Angola;0.3785311;0.5536723;186543.8;88335.59;0.3142294;0.4596192;0.2761915;0.1307872;0.6167247;0.6914063;0.9437931;0.4473112;0.0455386;0.0648476;0.026388;0.0059446
2008;3;24;AGO;Angola;0.4915254;0.5593221;325750.8;113158.2;0.393327;0.447579;0.3673836;0.1276205;0.6629214;0.6941177;0.8633268;0.3740928;0.0552013;0.0629072;0.0350654;0.0061885
2007;3;24;AGO;Angola;0.4237288;0.5536723;187955;68658.4;0.3408781;0.4454141;0.2477477;0.0905002;0.6344086;0.6914063;0.8234274;0.3733935;0.0488725;0.0626398;0.0229269;0.0039633
2006;3;24;AGO;Angola;0.4237288;0.5480226;148295.5;58595.08;0.3457018;0.4471076;0.2247255;0.0887944;0.6344086;0.6887159;0.7609225;0.4176945;0.0500128;0.0629386;0.0218265;0.0042462
2005;3;24;AGO;Angola;0.4124294;0.5819209;103892.3;43374.04;0.3360339;0.47413;0.1809992;0.0755654;0.6298932;0.7051793;0.7960862;0.4575653;0.0482902;0.0654776;0.0159992;0.0031281
2004;3;24;AGO;Angola;0.3446328;0.5536723;57984.45;35482.68;0.2874782;0.4618502;0.1140121;0.0697679;0.6040956;0.6914063;0.6763713;0.4733799;0.0407712;0.0643331;0.0101553;0.0026293
2003;3;24;AGO;Angola;0.3672316;0.5310735;41674.49;24296.72;0.3074449;0.4446126;0.1003876;0.0585272;0.6124567;0.6807692;0.7379011;0.3816998;0.0444415;0.062574;0.0089187;0.0020491
2002;3;24;AGO;Angola;0.3785311;0.5310735;35901.09;16390.73;0.3216669;0.4512939;0.1006757;0.0459638;0.6167247;0.6807692;0.6867577;0.3622411;0.0464641;0.0630643;0.0074603;0.0014732
2001;3;24;AGO;Angola;0.3220339;0.5254237;30730.28;17588.74;0.277143;0.4521807;0.089511;0.0512324;0.5959596;0.6781609;0.6343858;0.3527716;0.0393744;0.0633591;0.0066444;0.001436
2000;3;24;AGO;Angola;0.299435;0.4689265;38373.13;10571.63;0.2626753;0.4113595;0.1083505;0.0298501;0.5880399;0.6531366;0.5797657;0.3109091;0.0384506;0.0584104;0.0078395;0.0008671
1999;3;24;AGO;Angola;0.2937853;0.4576271;21812.14;10450.46;0.2674484;0.4166024;0.0694017;0.0332512;0.5860927;0.6483517;0.723675;0.325903;0.0392217;0.0593761;0.0052558;0.0011221
1998;3;24;AGO;Angola;0.3107345;0.440678;17028.08;10890.37;0.2875216;0.4077578;0.056179;0.0359295;0.5919732;0.6413044;0.6894037;0.3395856;0.0410412;0.0581612;0.0049858;0.0014555
1997;3;24;AGO;Angola;0.3050847;0.3954802;22415.75;12390.49;0.2885849;0.3740915;0.0733348;0.0405364;0.59;0.6232395;0.7119737;0.3415749;0.0419589;0.0540803;0.006376;0.0014859
1996;3;24;AGO;Angola;0.2768362;0.3954802;22700.34;10414.63;0.2743254;0.3918934;0.0770819;0.0353642;0.5803279;0.6232395;0.6842035;0.3193564;0.040053;0.0565633;0.0065061;0.0012907
1995;3;24;AGO;Angola;0.2429378;0.3559322;17415.28;9364.178;0.2565632;0.375895;0.0625191;0.0336165;0.5691319;0.6082474;0.5347908;0.2949575;0.038379;0.0549281;0.0053568;0.0014468
2010;4;8;ALB;Albania;0.6892655;0.6892655;10347.75;26053.71;0.5605072;0.5605072;0.0125013;0.0314759;0.762931;0.762931;0.5373001;0.3130218;0.0740693;0.0743028;0.0003905;0.0009359
