all_codes,country_code_2,country_code_1,log_normalized_n_events_all,log_normalized_mean_imports_dollars,centroid_dist_meters,wals_euclidean_dist,asjp_dist,country_name_1,country_name_2,cont_order_1,cont_order_2
AEAR,AE,AR,-16.325346499648962,-23.605159925870318,13988648.579099372,166.39748513958506,NA,Argentina,United Arab Emirates,2,3
AEAT,AE,AT,-15.792733171805299,-22.13668778661063,4426339.855336516,26.158017745560464,NA,Austria,United Arab Emirates,4,3
AEAU,AE,AU,-13.834289341984025,-20.83605426839362,10289101.603344126,156.59282004870923,NA,Australia,United Arab Emirates,5,3
AEBE,AE,BE,-15.96166012118164,-20.358587631776356,5195094.4902239265,NA,NA,Belgium,United Arab Emirates,4,3
AEBH,AE,BH,-12.195794028852665,-21.250362256611258,417408.4100291023,0,0,Bahrain,United Arab Emirates,3,3
AEBY,AE,BY,-15.854745085255637,-24.57982823965441,3898115.4166045384,132.5023519190366,NA,Belarus,United Arab Emirates,4,3
AECA,AE,CA,-15.580231472172407,-22.338424823106227,10295221.496059548,156.59282004870923,NA,Canada,United Arab Emirates,2,3
AECH,AE,CH,-14.655754310820209,-20.73495190938352,4796902.945216044,26.158017745560464,NA,Switzerland,United Arab Emirates,4,3
AECZ,AE,CZ,-13.723919132790558,-21.604718796553296,4421819.068075835,NA,NA,Czech Republic,United Arab Emirates,4,3
AEDE,AE,DE,-15.97461975237795,-21.029841759992088,4791610.490013263,26.158017745560464,NA,Germany,United Arab Emirates,4,3
AEDK,AE,DK,-15.552572964094807,-22.07033109641069,5031289.100730512,98.38964110541342,NA,Denmark,United Arab Emirates,4,3
AEDZ,AE,DZ,-15.231406218216172,-23.323708539189695,5085929.398170368,0,0,Algeria,United Arab Emirates,1,3
AEEE,AE,EE,-13.128796923408748,-25.000070045493263,4472260.097471721,NA,NA,Estonia,United Arab Emirates,4,3
AEEG,AE,EG,-13.09895320534789,-22.208310510436963,2430679.8781104367,0,0,Egypt,United Arab Emirates,1,3
AEES,AE,ES,-15.723679787003599,-21.80907334360209,5652872.017756516,166.39748513958506,NA,Spain,United Arab Emirates,4,3
AEFI,AE,FI,-14.444712996620417,-21.943492076259545,4899632.652641766,83.39008607952832,NA,Finland,United Arab Emirates,4,3
AEFR,AE,FR,-14.729502456441073,-20.92502180479291,5220813.494747943,NA,NA,France,United Arab Emirates,4,3
AEGB,AE,GB,-14.42453188817533,-20.464392005436,5805226.845214116,156.59282004870923,NA,United Kingdom of Great Britain and Northern Ireland,United Arab Emirates,4,3
AEGR,AE,GR,-14.319637978771912,-22.640769649524966,3440002.9454090977,NA,NA,Greece,United Arab Emirates,4,3
AEHU,AE,HU,-13.92866709835315,-22.024980465066687,3953231.0989078823,170.62496313754698,NA,Hungary,United Arab Emirates,4,3
AEID,AE,ID,-17.99669557076336,-22.119037284922108,7841918.740473493,140.69020878687894,NA,Indonesia,United Arab Emirates,3,3
AEIL,AE,IL,-13.669695023266527,NA,2068022.2460306971,104.11151944570605,NA,Israel,United Arab Emirates,3,3
AEIN,AE,IN,-15.180930729458872,-20.250424056542165,2412375.4866763293,124.34005973780548,NA,India,United Arab Emirates,3,3
AEIQ,AE,IQ,-13.681067472906543,-24.569729128033195,1398765.8544706032,0,0,Iraq,United Arab Emirates,3,3
AEIT,AE,IT,-15.544727734486537,-20.83701131075698,4303756.769362034,107.32403587910284,NA,Italy,United Arab Emirates,4,3
AEJO,AE,JO,-12.30407213518981,-21.787590202301757,1937384.0585917328,0,0,Jordan,United Arab Emirates,3,3
AEJP,AE,JP,-16.911837651767886,-19.55816230559324,7965910.8268026,153.20765594659073,NA,Japan,United Arab Emirates,3,3
AEKR,AE,KR,-14.48872751594525,-19.787032031233707,7027404.7573735565,141.63370671766592,NA,Republic of Korea,United Arab Emirates,3,3
AEKW,AE,KW,-12.596283374260036,-21.453491736380435,871926.8729197237,0,0,Kuwait,United Arab Emirates,3,3
AEKZ,AE,KZ,-15.892318718671383,-23.171443299971966,2943478.3522937424,33.53410112144537,NA,Kazakhstan,United Arab Emirates,3,3
AELT,AE,LT,-14.182949874271749,-24.65601749296134,4316452.719395562,68.25872295032516,NA,Lithuania,United Arab Emirates,4,3
AELV,AE,LV,-12.646449838997269,-24.872949791511072,4350155.448260507,106.99838413284071,NA,Latvia,United Arab Emirates,4,3
AEMA,AE,MA,-14.390653459645359,-22.74113451389819,5797578.297647652,0,0,Morocco,United Arab Emirates,1,3
AEMK,AE,MK,-13.106713428292391,-26.403413545365574,3556515.6479016445,25.097341956893874,NA,The former Yugoslav Republic of Macedonia,United Arab Emirates,4,3
AEMX,AE,MX,-16.871997397832725,-26.795202504087225,14197539.842140136,166.39748513958506,NA,Mexico,United Arab Emirates,2,3
AEMY,AE,MY,-16.02085783445558,-20.51931501411464,6718769.539561987,NA,NA,Malaysia,United Arab Emirates,3,3
AENZ,AE,NZ,-14.753382041216929,-21.775046414277327,14216153.451379206,156.59282004870923,NA,New Zealand,United Arab Emirates,5,3
AEOM,AE,OM,-13.186905133830784,-19.400622589488396,454628.91747398087,0,0,Oman,United Arab Emirates,3,3
AEPH,AE,PH,-17.38765145576332,-21.67545905651397,7219383.3072926495,156.59282004870923,NA,Philippines,United Arab Emirates,3,3
AEPK,AE,PK,-15.770568916522798,-20.40337687312646,1719631.0836715791,39.749870088990654,NA,Pakistan,United Arab Emirates,3,3
AEPL,AE,PL,-15.122535067194532,-23.046443724686284,4242746.795959818,63.2763644027041,NA,Poland,United Arab Emirates,4,3
AEQA,AE,QA,-12.426033261676395,-20.284332995311136,324285.39183548145,0,0,Qatar,United Arab Emirates,3,3
AERO,AE,RO,-14.562785646212147,-22.758634161015134,3567405.7829135787,30.524406736729144,NA,Romania,United Arab Emirates,4,3
AERS,AE,RS,-13.669062117368105,NA,3731637.927825259,NA,NA,Serbia,United Arab Emirates,4,3
AERU,AE,RU,-14.483363769661983,-23.28023787845845,5339775.801564328,152.13440792344912,NA,Russian Federation,United Arab Emirates,4,3
AESA,AE,SA,-12.645881804104807,-20.849081923828084,918260.0640738026,0,0,Saudi Arabia,United Arab Emirates,3,3
AESE,AE,SE,-13.728373568807692,-21.91057219904636,5140404.926535422,83.39008607952832,NA,Sweden,United Arab Emirates,4,3
AESG,AE,SG,-14.867575465543695,-19.41097577377084,5920886.443979389,156.59282004870923,NA,Singapore,United Arab Emirates,3,3
AESI,AE,SI,-15.171754390965265,-23.398406413679588,4251840.182054391,24.15097796013877,NA,Slovenia,United Arab Emirates,4,3
AETH,AE,TH,-15.408224941808614,-19.895725805453633,4908058.902405145,138.43179218948518,NA,Thailand,United Arab Emirates,3,3
AETR,AE,TR,-16.181000365504214,-20.985550906642885,2458031.890196045,118.9777237575461,NA,Turkey,United Arab Emirates,3,3
AETW,AE,TW,-16.49635693435399,-20.812481463119305,6741409.609894137,123.05034102332374,NA,"Taiwan, Province of China",United Arab Emirates,3,3
AEUA,AE,UA,-14.553655621871489,-22.04200263029702,3382189.7923446284,41.94417252588858,NA,Ukraine,United Arab Emirates,4,3
AEUS,AE,US,-14.292719154207687,-21.792299403457218,12382959.884360356,156.59282004870923,NA,United States of America,United Arab Emirates,2,3
AEVN,AE,VN,-17.035671506706937,-21.87665035619024,5663119.705313064,136.84586225593128,NA,Viet Nam,United Arab Emirates,3,3
AEZA,AE,ZA,-16.10897624529118,-21.68313744522273,6714619.945801978,156.59282004870923,NA,South Africa,United Arab Emirates,1,3
ARAU,AR,AU,-17.314785498822893,-23.667231211687763,13169201.001919484,143.3610265111319,0.8321298029776233,Australia,Argentina,5,2
ARBR,AR,BR,-13.94320031475839,-20.915935486549376,2825158.770940817,148.58768454288068,0.6058660961041276,Brazil,Argentina,2,2
ARCA,AR,CA,-15.406424480796495,-22.965409317086017,10867916.099099535,143.3610265111319,0.8321298029776233,Canada,Argentina,2,2
ARCH,AR,CH,-16.371840490063352,-23.48821447307832,11526838.457222167,160.22523713848832,0.8289203886957297,Switzerland,Argentina,4,2
ARCL,AR,CL,-13.705895022142007,-21.40103014429463,796511.6007234154,0,0,Chile,Argentina,2,2
ARCO,AR,CO,-15.32145969083801,-23.256231442501242,4312837.5559044685,0,0,Colombia,Argentina,2,2
ARCZ,AR,CZ,-17.11276730435008,-23.47046932675122,12127195.237183845,NA,0.8037799768208969,Czech Republic,Argentina,4,2
ARDE,AR,DE,-15.460044454566583,-22.768363432793173,11960189.473338474,160.22523713848832,0.8289203886957297,Germany,Argentina,4,2
ARDZ,AR,DZ,-17.54089130981705,-22.348457427193896,9868925.979420103,166.39748513958506,NA,Algeria,Argentina,1,2
AREG,AR,EG,-17.088262881074165,-23.300592343482265,11998235.083611906,166.39748513958506,NA,Egypt,Argentina,1,2
ARES,AR,ES,-14.96540601453188,-22.370623715962935,10286092.054284055,0,0,Spain,Argentina,4,2
ARFR,AR,FR,-14.421515916663392,-22.968529632025096,11095457.530608932,NA,0.7491307836319872,France,Argentina,4,2
ARGB,AR,GB,-13.300231588312684,-22.94111607880809,11360045.292548204,143.3610265111319,0.8321298029776233,United Kingdom of Great Britain and Northern Ireland,Argentina,4,2
ARGR,AR,GR,-14.812598094647697,-24.78073177939966,12008772.323113926,NA,0.839083533921726,Greece,Argentina,4,2
ARID,AR,ID,-18.824229216487467,-23.403205627202883,15675698.650958577,206.9324774269126,0.8756351965766247,Indonesia,Argentina,3,2
ARIL,AR,IL,-13.749394065211364,-23.342197684381873,12641440.43969787,165.19721308030353,NA,Israel,Argentina,3,2
ARIN,AR,IN,-19.035964810630876,-23.998807681433753,15898042.767995698,152.6597149451405,0.8285637871088526,India,Argentina,3,2
ARIQ,AR,IQ,-17.51047216572552,-25.340900863287548,13502273.589325415,166.39748513958506,NA,Iraq,Argentina,3,2
ARIT,AR,IT,-14.017853273426248,-22.486599457218833,11575723.462205414,145.24048083861365,0.5058393509851119,Italy,Argentina,4,2
ARJO,AR,JO,-15.96629262988912,-23.955663908949802,12723046.782392943,166.39748513958506,NA,Jordan,Argentina,3,2
ARJP,AR,JP,-18.26022759103284,-23.41768610143589,18023383.396867324,174.24530966307245,0.8730498350717661,Japan,Argentina,3,2
ARKR,AR,KR,-17.650080887023492,-22.904377315864316,18943950.151434675,165.30953271805566,0.910314700900419,Republic of Korea,Argentina,3,2
ARKZ,AR,KZ,-17.24284679046277,-24.900595359179455,15794334.819829945,160.01571900764947,0.9077293393955602,Kazakhstan,Argentina,3,2
ARLT,AR,LT,-15.85924544993122,-25.171041733319008,12977382.759269336,159.98652967384533,0.842471248997058,Lithuania,Argentina,4,2
ARLV,AR,LV,-16.938284892024164,-24.50026621653035,13075365.715943899,179.95096285250608,NA,Latvia,Argentina,4,2
ARMX,AR,MX,-14.7328231614891,-23.00205182181231,7512825.753390903,0,0,Mexico,Argentina,2,2
ARNL,AR,NL,-17.223017823704136,-22.26376935198826,11755585.036909036,NA,0.8307925470268342,Netherlands,Argentina,4,2
ARNZ,AR,NZ,-16.990858209076702,-25.145051354360746,9714449.520967843,143.3610265111319,0.8321298029776233,New Zealand,Argentina,5,2
AROM,AR,OM,-15.867898212897215,-24.89594193688384,14115302.740010105,166.39748513958506,NA,Oman,Argentina,3,2
ARPE,AR,PE,-16.508472637005358,-22.87533476103193,2938942.611978674,0,0,Peru,Argentina,2,2
ARPH,AR,PH,-17.40201297198337,-23.795828280522,17622267.00064409,143.3610265111319,0.8321298029776233,Philippines,Argentina,3,2
ARPK,AR,PK,-18.613438210881505,-24.495597260642164,15708150.276378613,160.2820044053088,0.8003922617455648,Pakistan,Argentina,3,2
ARPL,AR,PL,-17.529010365960424,-23.596417247513436,12555333.312504925,157.4384967574179,0.8116252117321923,Poland,Argentina,4,2
ARQA,AR,QA,-16.942856514637782,-23.506479754115155,13809292.246469116,166.39748513958506,NA,Qatar,Argentina,3,2
ARRO,AR,RO,-16.89279572136937,-25.5237947841383,12589276.083297933,160.77267938529846,0.6571275742177052,Romania,Argentina,4,2
ARRU,AR,RU,-13.363727101262743,-23.610943140429107,16917693.121072605,114.37460238137807,0.8611928323081037,Russian Federation,Argentina,4,2
ARSA,AR,SA,-16.694487108620383,-23.996814702078357,13218871.597754918,166.39748513958506,NA,Saudi Arabia,Argentina,3,2
ARTR,AR,TR,-17.24014899699047,-24.651810397307138,13010720.269627301,161.22674296390534,0.8764375501470981,Turkey,Argentina,3,2
