centroid_dist_meters,wals_euclidean_dist,asjp_dist,all_codes
0,0,0,AEAE
13988648.579099372,166.39748513958506,NA,AEAR
4426339.855336516,26.158017745560464,NA,AEAT
10289101.603344126,156.59282004870923,NA,AEAU
3973971.014736233,NA,NA,AEBA
5195094.4902239265,NA,NA,AEBE
3393739.599944321,102.73592321999153,NA,AEBG
417408.4100291023,0,0,AEBH
12391780.749805592,70.66751913990753,NA,AEBR
3898115.4166045384,132.5023519190366,NA,AEBY
10295221.496059548,156.59282004870923,NA,AECA
4796902.945216044,26.158017745560464,NA,AECH
14592124.449635712,166.39748513958506,NA,AECL
13412145.545087388,166.39748513958506,NA,AECO
4421819.068075835,NA,NA,AECZ
4791610.490013263,26.158017745560464,NA,AEDE
5031289.100730512,98.38964110541342,NA,AEDK
5085929.398170368,0,0,AEDZ
4472260.097471721,NA,NA,AEEE
2430679.8781104367,0,0,AEEG
5652872.017756516,166.39748513958506,NA,AEES
4899632.652641766,83.39008607952832,NA,AEFI
5220813.494747943,NA,NA,AEFR
5805226.845214116,156.59282004870923,NA,AEGB
3440002.9454090977,NA,NA,AEGR
NA,156.59282004870923,NA,AEHK
4183271.2343119364,NA,NA,AEHR
3953231.0989078823,170.62496313754698,NA,AEHU
7841918.740473493,140.69020878687894,NA,AEID
6049346.046855939,156.59282004870923,NA,AEIE
2068022.2460306971,104.11151944570605,NA,AEIL
2412375.4866763293,124.34005973780548,NA,AEIN
1398765.8544706032,0,0,AEIQ
4303756.769362034,107.32403587910284,NA,AEIT
1937384.0585917328,0,0,AEJO
7965910.8268026,153.20765594659073,NA,AEJP
5491623.514354789,92.14664619411559,NA,AEKH
7027404.7573735565,141.63370671766592,NA,AEKR
871926.8729197237,0,0,AEKW
2943478.3522937424,33.53410112144537,NA,AEKZ
4316452.719395562,68.25872295032516,NA,AELT
4350155.448260507,106.99838413284071,NA,AELV
5797578.297647652,0,0,AEMA
3556515.6479016445,25.097341956893874,NA,AEMK
14197539.842140136,166.39748513958506,NA,AEMX
6718769.539561987,NA,NA,AEMY
5135353.756724281,NA,NA,AENL
5356115.7043952625,59.34987452786549,NA,AENO
14216153.451379206,156.59282004870923,NA,AENZ
454628.91747398087,0,0,AEOM
14522796.3081913,166.39748513958506,NA,AEPE
7219383.3072926495,156.59282004870923,NA,AEPH
1719631.0836715791,39.749870088990654,NA,AEPK
4242746.795959818,63.2763644027041,NA,AEPL
5996511.518932555,70.66751913990753,NA,AEPT
324285.39183548145,0,0,AEQA
3567405.7829135787,30.524406736729144,NA,AERO
3731637.927825259,NA,NA,AERS
5339775.801564328,152.13440792344912,NA,AERU
918260.0640738026,0,0,AESA
5140404.926535422,83.39008607952832,NA,AESE
5920886.443979389,156.59282004870923,NA,AESG
4251840.182054391,24.15097796013877,NA,AESI
4076199.0377076953,NA,NA,AESK
4908058.902405145,138.43179218948518,NA,AETH
2458031.890196045,118.9777237575461,NA,AETR
6741409.609894137,123.05034102332374,NA,AETW
3382189.7923446284,41.94417252588858,NA,AEUA
12382959.884360356,156.59282004870923,NA,AEUS
5663119.705313064,136.84586225593128,NA,AEVN
6714619.945801978,156.59282004870923,NA,AEZA
13988648.579099372,166.39748513958506,NA,AEAR
0,0,0,ARAR
11881878.71896573,160.22523713848832,0.8289203886957297,ARAT
13169201.001919484,143.3610265111319,0.8321298029776233,ARAU
12001227.125237998,NA,0.8178657395025407,ARBA
11547547.337041954,NA,0.8307925470268342,ARBE
12441528.929825982,156.8638769895623,0.8362307212267094,ARBG
13764792.064401042,166.39748513958506,NA,ARBH
2825158.770940817,148.58768454288068,0.6058660961041276,ARBR
13096265.774274334,204.3991304513062,0.8257109744138361,ARBY
